,count,accidents,Latitude,Longitude,num_accidents_fatalities,State,County,City,fatalities_ratio
4259,8,"{189216, 67458, 65827, 175208, 176845, 103543, 72569, 88762}",45.404799375,-122.29086224999999,0.0,Oregon,Clackamas,Sandy,0.0
4260,14,"{194144, 55585, 59195, 212069, 36614, 36615, 40203, 212060, 41616, 212118, 53401, 53018, 53019, 199740}",35.314000785714285,-80.76381964285716,0.0,North Carolina,Mecklenburg,Charlotte,0.0
4261,8,"{120736, 139681, 157511, 165607, 156841, 112493, 162871, 125342}",35.420770000000005,-97.52135,0.0,Oklahoma,Oklahoma,Oklahoma City,0.0
4262,8,"{71072, 145062, 59293, 198513, 77430, 53816, 70648, 201949}",38.939226375,-76.062541375,0.0,Maryland,Queen Anne's,Queen Anne,0.0
4263,8,"{113186, 112487, 126988, 210479, 123989, 148281, 140445, 137695}",35.580120875,-97.62068500000001,0.0,Oklahoma,Oklahoma,Oklahoma City,0.0
4264,8,"{157380, 157384, 112266, 92140, 157388, 65840, 157393, 157400}",34.95330849999999,-82.28481149999999,0.0,South Carolina,Greenville,Greer,0.0
4265,8,"{46850, 46981, 41897, 46667, 100877, 43951, 46709, 42651}",35.271807374999995,-80.83699150000001,0.0,North Carolina,Mecklenburg,Charlotte,0.0
4266,8,"{41898, 41901, 91214, 167281, 114738, 131059, 203032, 212671}",35.151580374999995,-80.84166625,0.0,North Carolina,Mecklenburg,Charlotte,0.0
4267,8,"{12041, 192778, 214218, 150863, 68977, 125912, 135482, 147295}",41.733194875,-87.81849795875,1.0,Illinois,COOK ,HICKORY HILLS,0.125
4268,8,"{142625, 138342, 57031, 138346, 138349, 93144, 142622, 174559}",42.478779875,-87.82371749999999,0.0,Illinois,Lake,Winthrop Harbor,0.0
4269,8,"{185385, 77194, 105674, 142636, 142637, 182730, 93914, 182396}",44.819875875,-93.208729,0.0,Minnesota,Dakota,Saint Paul,0.0
4270,8,"{36581, 40647, 3175, 128200, 83470, 41524, 143092, 43255}",42.36964533375,-87.9144129725,1.0,Illinois,Lake,Gurnee,0.125
4271,12,"{51392, 51393, 70852, 100233, 93515, 110992, 128600, 48027, 48028, 48029, 48030, 48031}",40.217078916666665,-75.24701633333332,0.0,Pennsylvania,Montgomery,North Wales,0.0
4272,8,"{141121, 59047, 55591, 191725, 194004, 216252, 212701, 166783}",42.32314,-88.16242,0.0,Illinois,Lake,Round Lake,0.0
4273,8,"{190144, 81295, 188408, 87190, 194488, 188056, 194489, 172799}",34.095719875,-117.872489625,0.0,California,Los Angeles,Covina,0.0
4274,13,"{78593, 189954, 150083, 59367, 211914, 55503, 212881, 72722, 195251, 91990, 66744, 91450, 66335}",28.54579584615385,-81.41367323076922,0.0,Florida,Orange,Orlando,0.0
4275,8,"{68128, 164224, 170817, 178578, 181170, 35001, 75324, 174589}",44.76518775,-93.78120537499998,0.0,Minnesota,Carver,Cologne,0.0
4276,8,"{172128, 103146, 116362, 158286, 181565, 182428, 175709, 166303}",38.452831625,-121.395808625,0.0,California,Sacramento,Sacramento,0.0
4277,8,"{108038, 123111, 105708, 101644, 101645, 123120, 126686, 107615}",40.2121195,-75.18589262500001,0.0,Pennsylvania,Montgomery,Ambler,0.0
4278,8,"{122664, 138280, 132015, 120624, 146575, 156111, 141781, 79767}",30.412637125,-84.30332762500001,0.0,Florida,Leon,Tallahassee,0.0
4279,8,"{147584, 95273, 116191, 35504, 35505, 106997, 137752, 92543}",30.27356925,-97.69791187499999,0.0,Texas,Travis,Austin,0.0
4280,8,"{125728, 146081, 156909, 123504, 129076, 151284, 122011, 136350}",33.495020000000004,-112.0999,0.0,Arizona,Maricopa,Phoenix,0.0
4281,8,"{120772, 64326, 35499, 93108, 102713, 96957, 72799, 85471}",30.360875125,-97.69344749999999,0.0,Texas,Travis,Austin,0.0
4282,8,"{135584, 162849, 159175, 141929, 34829, 155059, 165622, 119387}",35.522408625,-97.542636625,0.0,Oklahoma,Oklahoma,Oklahoma City,0.0
4283,8,"{181184, 181185, 8002, 177166, 79374, 137776, 91538, 219092}",41.147239445,-112.026062075,1.0,Utah,Davis,Clearfield,0.125
4284,8,"{217313, 183211, 187435, 175855, 174095, 102865, 144404, 172412}",33.946168625,-118.02025850000001,0.0,California,Los Angeles,Whittier,0.0
